PHONE_USE_MTH,L90D_RG_CTT_TM,SCR_CELL_CALLED_TIMES,SCR_CELL_CALLED_PHONE_CNT,SCR_CELL_CTT_DAYS_CNT,SCR_CELL_CALLED_CTT_DAYS_CNT,SCR_CELL_180_CALLING_SUBTTL,SCR_CELL_MRNG_CALLED_TIMES,SCR_CELL_CALL_TTL_TIME,SCR_CELL_AFTN_CALL_TTL_TIME,SCR_CELL_NIGHT_CALL_TTL_TIME,SCR_CELL_90DAY_CALLING_TIMES,SCR_CELL_90DAY_CALL_TIMES,SCR_CELL_CALL_PHONE_CNT,SCR_CELL_CALLING_CTT_DAYS_CNT,SCR_CELL_CALLED_TTL_TIME,SCR_CELL_NIGHT_CALLED_TTL_TIME,SCR_CELL_AFTN_CALLING_TTL_TIME,SCR_CELL_NIGHT_CALLING_TTL_TIME,SCR_CELL_DAY_CALLING_TTL_TIME,SCR_CELL_EVN_CALL_TTL_TIME,SCR_CELL_CALLING_TTL_TIME,SCR_CELL_90DAY_CALLING_TTL_TIME,SCR_CELL_CALL_SMY_ANS_AFTN_CNT,SCR_CELL_CALL_SMY_ANS_AFTN_TM,SCR_CELL_LOCAL_CALL_TIME,SCR_CELL_90DAY_CALL_TTL_TIME,SCR_CELL_CALL_LSTM2_CONTACTS_CNT,SCR_CELL_NET_LSTM6_ONL_FLOW,SMS_L150D_TTL_PPL,SMS_L30D_SEND_CNT,SMS_L30D_TOTAL_CNT,sms_l90d_send_cnt,sms_l90d_total_cnt,SCR_CELL_SMS_LSTM3_SEND_CNT,TRC_LSM1_AVG_PLAN_AMT,TRC_LSM1_AVG_TOTAL_AMT,TRC_LSM5_PLAN_AMT,TRC_LSM5_TOTAL_AMT,SCR_CELL_MAX_PLAN_AMT,SCR_CELL_PH_USE_MONS
5,1975,18,12,26,15,0,5,6300,1492,0,0,0,25,16,1518,242,1162,0,3620,0,4782,3667,9,330,0,4565,12,-9999999,0,0,0,2,2,3,0,180.2,0,900.3,0,5
5,8233,734,252,147,142,0,174,305464,97343,45688,0,0,292,120,177087,40443,25518,31448,55530,22326,128377,49659,275,71825,0,107689,111,-9999999,22,4,4,34,34,39,199,199,597,2436.47,199,5
26,2758,548,143,164,122,0,147,95814,34747,4856,0,0,251,102,49115,20555,11784,1120,17784,1123,33199,14173,195,16214,0,45839,70,-9999999,12,2,2,20,20,23,59,99.57,855,1348.17,199,26
5,5877,465,164,155,148,0,145,51444,14890,6058,0,0,195,98,28232,10112,7036,2416,12035,1061,23212,9701,157,7854,0,25880,97,-9999999,16,549,549,1216,1216,1088,205.13,181.99,808.8,906.86,205.13,5
95,8383,698,136,163,160,0,217,65133,28221,3971,0,0,197,137,31553,4139,12790,1484,25069,198,33580,17458,341,15431,51318,33141,86,-9999999,3,10,10,15,15,31,0,10,0,50,0,95
5,6769,1028,291,171,170,0,281,220773,80703,9259,0,0,409,163,88210,27749,47470,2895,85062,1432,132563,69726,413,33233,0,118609,156,-9999999,9,2,2,6,6,8,129,129,387,1037.57,129,5
5,1093,748,118,165,156,0,196,72753,27509,5947,0,0,159,154,31105,8135,16071,2534,29887,545,41648,14202,276,11438,0,29826,61,-9999999,35,1702,1702,2981,2981,1831,194,254.79,919.39,1155.83,194,5
5,10419,392,210,150,138,0,158,43763,20897,1726,0,0,282,97,14816,1853,14387,733,24778,545,28947,9135,170,6510,0,16341,118,-9999999,18,2,2,7,7,32,0,93.3,0,342.1,0,5
101,8321,1119,382,171,170,0,205,128358,60966,11037,0,0,486,160,72505,18947,26333,4554,34710,5663,54750,24331,510,34059,93492,59029,167,-9999999,37,37,37,117,117,125,160,161,800.1,840.2,160.1,101
5,4656,319,155,143,128,0,99,32567,10619,2090,0,0,188,78,21972,7357,3726,870,7046,358,10595,3669,112,6893,0,11934,71,-9999999,14,9,9,28,28,42,0,205.4,0,1029.2,0,5
